Feature,SHAP_Value,Embedding_Value
Embedding_169,1.6326635,-0.20546755
Embedding_603,0.9802435,0.1858213
Embedding_3,-0.4900475,-0.035114877
Embedding_725,0.38432336,0.022703733
Embedding_413,0.36264372,0.09902088
Embedding_31,0.33571136,0.22201808
Embedding_299,0.32176495,-0.23756994
Embedding_445,0.31735665,-0.095173426
Embedding_586,0.30320537,-0.05192271
Embedding_611,0.27100778,0.35689044
Embedding_81,0.22033074,0.3452904
Embedding_4,0.20134607,-0.34325567
Embedding_290,0.17437941,-0.15246965
Embedding_297,0.16296211,0.083412856
Embedding_236,0.15191081,-0.33850142
Embedding_570,-0.13542734,0.030795421
Embedding_62,-0.13175091,-0.28102353
Embedding_538,-0.1267727,-0.41169384
Embedding_239,0.12229501,0.15173173
Embedding_565,0.12037521,-0.16275583
Embedding_248,-0.11502764,0.51615316
Embedding_760,-0.06288488,-0.048283577
Embedding_738,-0.04531583,-0.052263472
Embedding_548,0.0255551,-0.1339775
Embedding_337,-0.020205548,0.010328766
Embedding_619,0.01199964,-0.06220021
Embedding_331,-0.0007548989,-0.090902634
Embedding_15,0.0,-0.33259085
Embedding_16,0.0,-0.4840598
Embedding_17,0.0,0.6921777
Embedding_18,0.0,0.38598448
Embedding_19,0.0,-0.1239302
Embedding_20,0.0,0.19167373
Embedding_21,0.0,-0.6700866
Embedding_22,0.0,-0.07070967
Embedding_23,0.0,-0.06489168
Embedding_24,0.0,0.10194586
Embedding_25,0.0,0.008204162
Embedding_26,0.0,-0.15182859
Embedding_27,0.0,-0.41041252
Embedding_28,0.0,0.058839895
Embedding_29,0.0,-0.2028006
Embedding_30,0.0,-0.06165372
Embedding_32,0.0,0.2228635
Embedding_33,0.0,-0.15965864
Embedding_34,0.0,0.64468634
Embedding_35,0.0,-0.5039419
Embedding_36,0.0,0.022662407
Embedding_37,0.0,-0.2440796
Embedding_38,0.0,0.26874682
Embedding_39,0.0,0.74221253
Embedding_40,0.0,0.009111427
Embedding_41,0.0,-0.29569522
Embedding_42,0.0,0.13910228
