Word,Average Contribution
http,0.06076207786495266
Wid,0.06044339367530022
Free,0.057339981016909757
pk,0.05517287138922418
euc,0.0518244365494248
CanadianPharmacy,0.04880466814452081
al,0.047404991741975704
hd,0.04563237611237865
convenient,0.04428172514013232
ders,0.04066531798261853
kzs,0.03896780880701921
phr,0.03879002747424455
com,0.0382645536959281
nsq,0.03557323117897704
yahoo,0.004022359029370729
Re,0.003814926625958237
michaelpshannon,0.0035043152723609064
E,3.592000466060738e-05
svn0,3.5885823085118155e-05
there,3.5739551258677294e-05
slow,2.9180220346892864e-05
include,2.0788741557265424e-05
it,1.8917055842113586e-05
be,7.626430536990563e-06
question,5.873482413321113e-06
memory,3.0419212815560683e-06
iD8DBQFHuWqAtTMYHG2NR9URAuEgAJ0e449CXhMwI9uHbkW1Cdumml7jXQCfR,-0.0001079457170292471
ordering,-0.014801448543726899
with,-0.020463607772221313
He,-0.028209793072067075
hmu,-0.041806616133479614
xno,-0.04329011114273254
responsibilityport,-0.06660637638367296
