Feature,SHAP_Value,Embedding_Value
Embedding_245,-0.48546082,0.054339625
Embedding_424,0.45247006,-0.08399766
Embedding_246,-0.35900193,0.016186278
Embedding_713,0.3553899,-0.056176655
Embedding_362,-0.32291147,0.0021662377
Embedding_478,0.2897249,-0.017293645
Embedding_100,-0.23910648,0.0017686561
Embedding_287,-0.20449825,0.0023655556
Embedding_192,0.20254923,0.08890484
Embedding_443,-0.19366974,0.016271926
Embedding_95,-0.18643907,0.03325221
Embedding_114,0.18091115,0.021581706
Embedding_623,0.1803752,0.013332155
Embedding_706,-0.17579406,0.07012184
Embedding_544,0.16055214,0.104674384
Embedding_89,-0.15919483,0.059240777
Embedding_248,-0.15777892,-0.013510983
Embedding_658,0.15492913,-0.0033729598
Embedding_486,-0.15271612,-0.039098002
Embedding_366,-0.14965546,-0.0852488
Embedding_353,-0.13169312,-0.11654578
Embedding_519,-0.12844458,-0.023500107
Embedding_578,0.1260201,-0.008193839
Embedding_313,0.12025283,0.106462196
Embedding_118,0.11766738,0.06882311
Embedding_647,-0.11598806,0.05659475
Embedding_567,-0.1148298,-0.07228997
Embedding_83,-0.111237325,0.06186327
Embedding_151,-0.106394775,-0.039428677
Embedding_171,-0.106071725,-3.123656e-05
Embedding_462,0.10395314,0.049541667
Embedding_744,-0.103016734,-0.023206312
Embedding_378,0.10168047,0.020435099
Embedding_738,-0.09870389,-0.021292217
Embedding_461,-0.09455504,-0.008502789
Embedding_440,-0.09205946,-0.020203408
Embedding_598,-0.088607796,0.019784614
Embedding_505,0.086049475,0.051846232
Embedding_385,-0.08184459,-0.06496085
Embedding_217,0.080295466,0.16515742
Embedding_720,0.07965817,-0.013385579
Embedding_734,-0.07850631,0.14378282
Embedding_144,0.076297,0.19057137
Embedding_364,-0.07621512,-0.036398813
Embedding_67,0.07245836,0.06424553
Embedding_183,0.07216864,0.028848814
Embedding_233,0.070839435,-0.029342785
Embedding_134,0.07043032,0.033018332
Embedding_496,-0.068674654,0.10178521
Embedding_262,0.06748233,-0.039047085
Embedding_483,-0.06692882,0.0038186088
Embedding_419,0.06606844,-0.03711798
Embedding_599,-0.065629214,-0.08245474
Embedding_646,0.06266391,0.11574176
Embedding_211,-0.062253416,-0.0053668693
Embedding_761,-0.061451994,0.009147761
