Feature,SHAP_Value,Embedding_Value
Embedding_519,1.1109761,0.030643273
Embedding_706,0.51184034,0.022562038
Embedding_245,0.43931067,0.09444521
Embedding_609,0.42977935,0.018480916
Embedding_424,0.41778123,-0.0055338405
Embedding_246,-0.3866402,0.003779307
Embedding_362,-0.34952807,0.049915165
Embedding_713,0.34884673,-0.037459023
Embedding_478,0.2922131,-0.009437026
Embedding_287,-0.28658265,-0.027244352
Embedding_95,0.2716954,0.0041919723
Embedding_100,-0.23910648,0.017644346
Embedding_647,-0.23224413,0.15101004
Embedding_39,-0.21661112,0.024092047
Embedding_658,0.2076862,0.03322939
Embedding_192,0.20254923,0.020363552
Embedding_443,-0.2024326,0.040546857
Embedding_385,0.19598953,0.025694646
Embedding_114,0.18698445,0.055343747
Embedding_623,0.1803752,-0.033885814
Embedding_89,0.17768268,0.004330706
Embedding_544,0.17142604,0.13080016
Embedding_440,-0.15896763,-0.00393939
Embedding_486,-0.1537833,-0.02262028
Embedding_126,-0.15048254,-0.111822546
Embedding_366,-0.14965546,-0.07379833
Embedding_313,0.14268883,0.06208123
Embedding_118,0.11766738,0.0030747503
Embedding_248,-0.110366374,0.0125209335
Embedding_171,-0.106071725,0.044971738
Embedding_744,-0.10293216,-0.047002733
Embedding_83,-0.10224429,0.04442632
Embedding_378,0.10168047,0.019796882
Embedding_364,0.10114738,0.053425614
Embedding_598,-0.0999396,-0.04165981
Embedding_738,-0.09870389,0.008009918
Embedding_720,0.09718458,0.07759113
Embedding_578,0.092282765,-0.00613134
Embedding_233,0.08864487,0.049221907
Embedding_67,0.08633248,-0.0080064405
Embedding_505,0.086049475,-0.04039395
Embedding_134,0.08337801,0.077935845
Embedding_262,0.08153677,-0.034643173
Embedding_447,0.08092411,-0.042620115
Embedding_183,0.08082306,0.080575615
Embedding_217,0.080295466,0.102928266
Embedding_144,0.076297,0.15517694
Embedding_461,-0.07615046,-0.033947796
Embedding_496,-0.068674654,0.18562615
Embedding_567,0.06754837,-0.0043120645
Embedding_599,-0.065629214,-0.017663255
Embedding_187,0.062693074,0.017643034
Embedding_211,-0.062253416,0.070934
Embedding_419,0.0614737,-0.0826008
Embedding_761,-0.061451994,-0.05412507
Embedding_78,-0.06087952,-0.04552497
Embedding_116,0.06018964,-0.059605196
Embedding_677,0.059543412,-0.016905265
Embedding_247,0.058615975,0.09744377
Embedding_353,0.058580823,-0.049301863
Embedding_241,-0.05854836,0.045725673
Embedding_420,0.05506149,-0.11156049
Embedding_594,0.054812,0.0628962
Embedding_124,0.05260236,-0.018481318
